Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,O-C,H-L,%CVol,Bid,Ask,Implied Volatility,Ask Implied Volatility,Bid Implied Volatility,Delta,Theta,Gamma,Open Interest,Rho,Vega,Mid Price
01-Feb-2024,61.8,+3.8,+6.6%,58.4,55.0,62.3,468,3.4,7.3,-74.2%,59.8,63.0,15.3,15.2,14.8,-0.3,-0.6,0.0,"7,761",-3.0,7.3,61.4
31-Jan-2024,58.0,+6.5,+12.6%,50.4,49.6,57.4,"1,814",7.6,7.8,-44.7%,56.3,59.4,15.1,15.3,14.8,-0.3,-0.6,0.0,"7,533",-2.9,7.3,57.9
30-Jan-2024,51.5,-5.0,-8.8%,52.3,52.2,53.5,"3,283",0.8,1.3,+219.7%,50.3,52.6,14.4,,,-0.3,-0.5,0.0,"5,974",-3.0,7.4,51.5
29-Jan-2024,56.5,-1.0,-1.7%,58.2,56.4,58.9,"1,027",1.7,2.5,+0.4%,55.6,58.0,14.4,14.6,14.2,-0.3,-0.5,0.0,"2,769",-3.0,7.4,56.8
26-Jan-2024,57.5,-12.6,-18.0%,61.7,59.0,61.7,"1,023",4.2,2.7,"+5,015.0%",56.1,59.3,14.2,14.5,14.0,-0.3,-0.5,0.0,"2,092",-3.1,7.5,57.7
25-Jan-2024,70.1,-4.0,-5.4%,72.9,72.9,73.1,20,2.8,0.2,-96.1%,69.0,71.5,13.4,,,-0.4,-0.5,0.0,"1,349",-4.0,8.4,70.3
24-Jan-2024,74.1,-37.0,-33.3%,85.5,77.0,85.5,507,11.4,8.5,+489.5%,72.7,75.7,13.4,13.5,13.2,-0.4,-0.5,0.0,"1,369",-4.0,8.4,74.2
23-Jan-2024,111.1,+3.9,+3.6%,114.5,110.4,114.5,86,3.4,4.1,-5.5%,110.1,111.9,12.9,13.1,12.9,-0.5,-0.4,0.0,867,-5.4,8.8,111.0
22-Jan-2024,107.2,-20.7,-16.2%,111.0,111.0,115.1,91,3.8,4.1,"+9,000.0%",105.5,109.3,13.1,13.4,13.0,-0.5,-0.4,0.0,933,-5.3,8.8,107.4
19-Jan-2024,127.9,+1.3,+1.0%,131.7,131.7,131.7,1,3.8,0.0,0.0%,124.8,130.7,13.7,13.9,13.2,-0.5,-0.4,0.0,885,-5.9,9.0,127.8
18-Jan-2024,126.6,-28.4,-18.3%,127.0,127.0,127.0,1,0.4,0.0,-92.3%,126.1,128.4,13.7,13.7,13.5,-0.5,-0.4,0.0,884,-5.9,9.0,127.3
17-Jan-2024,155.0,+24.9,+19.1%,154.6,154.6,154.6,13,0.4,0.0,-85.6%,151.6,159.1,13.9,14.3,13.4,-0.6,-0.3,0.0,884,-6.7,8.5,155.4
16-Jan-2024,130.1,+6.2,+5.0%,133.7,133.7,139.6,90,3.6,5.9,-71.9%,128.6,131.8,13.6,13.6,13.3,-0.5,-0.4,0.0,887,-6.1,9.1,130.2
15-Jan-2024,123.9,+8.4,+7.3%,,,,320,,,+300.0%,122.1,125.0,13.3,13.5,13.2,-0.5,-0.4,0.0,977,-6.1,9.2,123.6
12-Jan-2024,115.5,-17.9,-13.4%,,,,,,,,113.7,117.0,13.6,13.6,13.2,-0.5,-0.4,0.0,777,-5.8,9.2,115.4
