Exchange Date,Close,Net,%Chg,Bid,Ask,Implied Volatility,Ask Implied Volatility,Bid Implied Volatility,Delta,Theta,Gamma,Open Interest,Rho,Vega,Mid Price
01-Feb-2024,268.3,+11.6,+4.5%,262.2,273.9,14.1,14.2,12.2,-0.8,-0.1,0.0,0,-8.1,6.0,268.1
31-Jan-2024,256.7,+14.1,+5.8%,251.9,262.2,13.5,14.2,12.6,-0.8,-0.1,0.0,0,-8.2,6.1,257.1
30-Jan-2024,242.6,-19.3,-7.4%,238.2,246.6,13.2,,,-0.8,-0.1,0.0,0,-8.5,6.2,242.4
29-Jan-2024,261.9,-3.0,-1.1%,258.5,265.4,13.2,13.5,12.4,-0.8,-0.1,0.0,0,-8.5,6.2,262.0
26-Jan-2024,264.9,-42.5,-13.8%,260.9,270.0,13.2,13.9,12.5,-0.8,-0.1,0.0,0,-8.8,6.3,265.5
25-Jan-2024,307.4,-14.8,-4.6%,293.5,321.4,13.4,,,-0.8,-0.1,0.0,0,-9.7,6.5,307.5
24-Jan-2024,322.2,-89.3,-21.7%,320.9,323.6,13.4,13.4,12.9,-0.8,-0.1,0.0,0,-9.7,6.5,322.3
23-Jan-2024,411.5,+13.7,+3.4%,405.4,417.1,14.4,15.9,13.5,-0.9,0.1,0.0,0,-10.4,4.8,411.3
22-Jan-2024,397.8,-34.8,-8.0%,391.6,403.3,14.0,15.3,12.8,-0.9,0.1,0.0,0,-10.4,4.9,397.5
19-Jan-2024,432.6,+5.3,+1.2%,430.1,435.6,15.4,16.1,15.0,-0.9,0.1,0.0,0,-10.7,4.8,432.9
18-Jan-2024,427.3,-48.3,-10.2%,411.8,443.5,15.4,18.0,10.9,-0.9,0.1,0.0,0,-10.8,4.8,427.7
17-Jan-2024,475.6,+41.9,+9.7%,471.5,480.2,16.3,17.0,15.3,-0.9,0.0,0.0,0,-11.1,4.8,475.9
16-Jan-2024,433.7,+12.4,+2.9%,427.9,439.8,15.5,16.2,13.8,-0.9,0.1,0.0,0,-11.0,4.9,433.9
15-Jan-2024,421.3,+19.1,+4.7%,414.8,426.3,14.3,15.6,13.3,-0.9,0.1,0.0,0,-11.3,5.0,420.6
12-Jan-2024,402.2,-32.7,-7.5%,400.8,403.2,15.0,14.6,14.1,-0.8,0.1,0.0,0,-11.2,5.0,402.0
11-Jan-2024,434.9,+26.8,+6.6%,429.4,441.0,15.1,16.3,14.0,-0.9,0.1,0.0,0,-11.5,5.0,435.2
10-Jan-2024,408.1,-0.7,-0.2%,402.1,413.6,14.4,15.4,13.2,-0.9,0.1,0.0,0,-11.5,5.1,407.9
09-Jan-2024,408.8,+13.0,+3.3%,402.5,414.8,13.9,15.4,13.0,-0.9,0.1,0.0,0,-11.8,5.2,408.7
08-Jan-2024,395.8,-19.0,-4.6%,389.6,401.3,14.5,15.3,13.1,-0.8,0.1,0.0,0,-11.6,5.1,395.5
05-Jan-2024,414.8,+10.9,+2.7%,399.0,430.8,14.7,17.2,11.3,-0.8,0.1,0.0,0,-12.0,5.2,414.9
04-Jan-2024,403.9,-28.3,-6.5%,400.1,408.1,14.4,15.3,13.9,-0.8,0.1,0.0,0,-12.1,5.3,404.1
03-Jan-2024,432.2,+60.5,+16.3%,425.6,437.3,15.5,16.2,13.9,-0.8,0.1,0.0,0,-12.2,5.2,431.5
02-Jan-2024,371.7,+2.8,+0.8%,365.6,377.3,14.1,14.6,12.8,-0.8,-0.0,0.0,0,-12.0,7.3,371.5
29-Dec-2023,368.9,+2.0,+0.5%,355.1,382.7,14.8,16.3,12.3,-0.8,-0.1,0.0,0,-12.1,7.3,368.9
28-Dec-2023,366.9,+15.0,+4.3%,350.8,382.7,13.7,16.0,11.1,-0.8,-0.0,0.0,0,-12.5,7.5,366.8
27-Dec-2023,351.9,-8.5,-2.4%,348.7,355.3,13.2,13.8,12.9,-0.8,-0.0,0.0,0,-12.6,7.6,352.0
22-Dec-2023,360.4,+1.5,+0.4%,357.3,364.6,13.7,14.3,13.3,-0.8,-0.0,0.0,0,-12.9,7.7,361.0
21-Dec-2023,358.9,+13.4,+3.9%,353.7,365.4,13.8,14.6,13.1,-0.8,-0.0,0.0,0,-13.0,7.7,359.6
20-Dec-2023,345.5,+2.0,+0.6%,339.2,350.9,13.0,14.1,12.6,-0.8,0.0,0.0,0,-13.1,7.8,345.1
19-Dec-2023,343.5,-14.9,-4.2%,338.2,349.9,12.9,13.9,12.4,-0.8,0.0,0.0,0,-13.2,7.9,344.1
18-Dec-2023,358.4,+27.7,+8.4%,353.9,365.1,13.5,14.3,12.9,-0.8,0.0,0.0,0,-13.3,7.8,359.5
15-Dec-2023,330.7,-8.6,-2.5%,316.3,344.2,12.8,15.0,11.5,-0.8,0.0,0.0,0,-13.4,8.0,330.3
14-Dec-2023,339.3,-9.4,-2.7%,324.8,353.1,12.9,13.9,12.8,-0.8,0.0,0.0,0,-13.6,8.0,339.0
13-Dec-2023,348.7,+6.1,+1.8%,338.1,359.9,13.2,14.6,11.8,-0.8,0.0,0.0,0,-13.7,8.0,349.0
12-Dec-2023,342.6,+4.5,+1.3%,336.2,347.9,13.1,13.8,12.7,-0.8,0.0,0.0,0,-13.8,8.0,342.1
11-Dec-2023,338.1,-19.9,-5.6%,328.1,349.6,12.9,14.7,12.0,-0.8,0.0,0.0,0,-13.8,8.1,338.9
08-Dec-2023,358.0,-42.9,-10.7%,348.8,370.3,13.7,15.3,12.6,-0.8,0.0,0.0,0,-14.1,8.1,359.6
07-Dec-2023,400.9,+15.1,+3.9%,389.8,412.2,14.3,15.7,12.7,-0.8,0.0,0.0,0,-14.6,8.1,401.0
06-Dec-2023,385.8,-33.0,-7.9%,380.9,392.6,13.3,14.6,13.2,-0.8,0.0,0.0,0,-14.9,8.3,386.8
05-Dec-2023,418.8,-31.8,-7.1%,412.6,424.1,14.5,14.9,13.3,-0.8,0.0,0.0,0,-15.0,8.2,418.4
04-Dec-2023,450.6,+1.6,+0.4%,445.6,457.3,14.2,15.3,13.4,-0.8,0.1,0.0,0,-15.6,6.1,451.5
01-Dec-2023,449.0,-30.4,-6.3%,443.8,453.7,14.7,15.2,13.7,-0.8,0.1,0.0,0,-15.7,6.1,448.8
30-Nov-2023,479.4,-11.1,-2.3%,463.2,495.2,14.7,15.9,14.0,-0.8,0.1,0.0,0,-16.1,6.2,479.2
29-Nov-2023,490.5,-22.3,-4.3%,484.2,495.7,14.9,15.9,14.1,-0.8,0.1,0.0,0,-16.3,6.2,490.0
28-Nov-2023,512.8,+9.7,+1.9%,496.0,527.7,15.4,17.6,12.2,-0.9,0.1,0.0,0,-16.5,6.2,511.9
27-Nov-2023,503.1,+16.7,+3.4%,486.4,518.0,14.8,17.4,12.3,-0.9,0.1,0.0,0,-16.7,6.3,502.2
24-Nov-2023,486.4,-10.5,-2.1%,478.2,491.2,14.6,15.6,13.5,-0.8,0.2,0.0,0,-16.8,6.3,484.7
23-Nov-2023,496.9,-7.7,-1.5%,491.2,502.9,14.9,16.0,14.2,-0.8,0.1,0.0,0,-17.0,6.3,497.1
22-Nov-2023,504.6,-19.0,-3.6%,498.6,511.0,14.9,16.0,14.0,-0.9,0.2,0.0,0,-17.1,6.4,504.8
21-Nov-2023,523.6,+10.1,+2.0%,519.0,532.4,15.2,16.7,14.6,-0.9,0.1,0.0,0,-17.3,6.4,525.7
20-Nov-2023,513.5,-5.5,-1.1%,507.5,519.6,14.7,15.8,14.0,-0.9,0.2,0.0,0,-17.5,6.5,513.6
17-Nov-2023,519.0,-36.0,-6.5%,513.7,524.2,15.5,16.2,14.6,-0.8,0.1,0.0,0,-17.6,6.4,519.0
16-Nov-2023,555.0,+14.8,+2.7%,549.1,560.6,16.0,16.9,15.3,-0.9,0.1,0.0,0,-17.9,6.4,554.9
15-Nov-2023,540.2,-17.8,-3.2%,535.3,546.8,15.5,16.6,14.8,-0.9,0.1,0.0,0,-18.0,6.5,541.1
14-Nov-2023,558.0,-63.9,-10.3%,553.3,564.3,14.9,16.4,14.7,-0.9,0.2,0.0,0,-18.5,6.7,558.8
13-Nov-2023,621.9,-32.6,-5.0%,615.6,627.2,16.9,17.7,15.8,-0.9,0.1,0.0,0,-18.6,6.4,621.4
10-Nov-2023,654.5,+30.5,+4.9%,648.6,660.4,17.6,18.5,16.7,-0.9,0.1,0.0,0,-19.0,6.4,654.5
09-Nov-2023,624.0,-48.5,-7.2%,618.0,629.6,17.1,17.9,16.1,-0.9,0.1,0.0,0,-18.9,6.5,623.8
08-Nov-2023,672.5,-23.1,-3.3%,667.1,678.8,17.9,18.9,17.0,-0.9,0.1,0.0,0,-19.2,6.4,673.0
07-Nov-2023,695.6,+6.8,+1.0%,690.3,702.5,18.2,19.3,17.2,-0.9,0.1,0.0,0,-19.4,6.4,696.4
06-Nov-2023,688.8,+18.3,+2.7%,683.9,695.9,17.9,19.2,17.3,-0.9,0.1,0.0,0,-19.6,6.5,689.9
03-Nov-2023,670.5,-9.6,-1.4%,666.8,678.5,17.3,18.7,16.9,-0.9,0.1,0.0,0,-19.9,6.6,672.7
02-Nov-2023,680.1,-76.0,-10.1%,674.5,686.5,18.2,19.1,17.3,-0.9,0.1,0.0,0,-19.8,6.5,680.5
01-Nov-2023,756.1,-33.8,-4.3%,750.6,763.2,19.5,20.3,18.0,-0.9,0.1,0.0,0,-20.2,6.5,756.9
31-Oct-2023,789.9,-30.3,-3.7%,783.1,795.9,20.3,20.8,18.4,-0.9,0.1,0.0,0,-20.4,6.4,789.5
30-Oct-2023,820.2,-5.1,-0.6%,813.5,827.2,20.6,21.6,18.9,-0.9,0.1,0.0,0,-20.6,6.4,820.4
27-Oct-2023,825.3,+29.2,+3.7%,819.8,833.9,19.2,21.8,19.2,-0.9,0.3,0.0,0,-21.3,4.4,826.9
26-Oct-2023,796.1,+25.3,+3.3%,790.7,806.3,19.9,21.4,18.6,-0.9,0.1,0.0,0,-21.0,6.6,798.5
25-Oct-2023,770.8,-12.5,-1.6%,761.6,781.3,19.2,20.9,17.4,-0.9,0.1,0.0,0,-21.1,6.6,771.5
24-Oct-2023,783.3,-20.3,-2.5%,,,20.1,,,-0.9,0.1,0.0,0,-21.0,6.6,
23-Oct-2023,803.6,-10.2,-1.3%,,,20.1,,,-0.9,0.1,0.0,0,-21.3,6.6,
20-Oct-2023,813.8,+58.7,+7.8%,,,19.4,,,-0.9,0.3,0.0,0,-21.9,4.5,
19-Oct-2023,755.1,+17.5,+2.4%,,,19.4,,,-0.9,0.1,0.0,0,-21.5,6.7,
18-Oct-2023,737.6,+43.7,+6.3%,,,18.8,,,-0.9,0.1,0.0,0,-21.6,6.8,
17-Oct-2023,693.9,-1.1,-0.2%,,,18.2,,,-0.9,0.1,0.0,0,-21.5,6.8,
16-Oct-2023,695.0,-12.6,-1.8%,,,18.1,,,-0.9,0.1,0.0,0,-21.7,6.9,
13-Oct-2023,707.6,+63.4,+9.8%,,,18.4,,,-0.9,0.1,0.0,0,-22.0,6.9,
12-Oct-2023,644.2,+7.1,+1.1%,,,16.9,,,-0.9,0.2,0.0,0,-21.9,7.1,
11-Oct-2023,637.1,-1.5,-0.2%,,,16.2,,,-0.9,0.2,0.0,0,-22.2,7.2,
10-Oct-2023,638.6,-88.8,-12.2%,,,17.0,,,-0.8,0.2,0.0,0,-22.0,7.1,
09-Oct-2023,727.4,+30.3,+4.3%,,,18.3,,,-0.9,0.2,0.0,0,-22.6,7.0,
06-Oct-2023,697.1,-40.8,-5.5%,,,17.9,,,-0.9,0.2,0.0,0,-22.7,7.1,
05-Oct-2023,737.9,-0.6,-0.1%,,,18.4,,,-0.9,0.2,0.0,0,-23.1,7.1,
04-Oct-2023,738.5,-4.3,-0.6%,,,18.5,,,-0.9,0.2,0.0,0,-23.1,7.1,
03-Oct-2023,742.8,+41.5,+5.9%,,,17.9,,,-0.9,0.2,0.0,0,-23.1,7.2,
02-Oct-2023,701.3,+40.9,+6.2%,,,17.9,,,-0.9,0.2,0.0,0,-23.1,7.2,
29-Sep-2023,660.4,-18.3,-2.7%,,,16.7,,,-0.9,0.2,0.0,0,-23.4,7.4,
28-Sep-2023,678.7,-26.2,-3.7%,,,17.7,,,-0.8,0.2,0.0,0,-23.3,7.2,
27-Sep-2023,704.9,-2.4,-0.3%,,,17.9,,,-0.9,0.2,0.0,0,-23.7,7.3,
26-Sep-2023,707.3,+34.2,+5.1%,,,17.8,,,-0.9,0.2,0.0,0,-23.8,7.3,
25-Sep-2023,673.1,+44.7,+7.1%,,,17.7,,,-0.8,0.2,0.0,0,-23.6,7.3,
22-Sep-2023,628.4,+4.4,+0.7%,,,16.2,,,-0.8,0.2,0.0,0,-23.9,7.5,
21-Sep-2023,624.0,+61.1,+10.9%,,,16.2,,,-0.8,0.2,0.0,0,-23.9,7.5,
20-Sep-2023,562.9,-35.4,-5.9%,,,15.1,,,-0.8,0.2,0.0,0,-23.7,7.7,
19-Sep-2023,598.3,+1.4,+0.2%,,,16.1,,,-0.8,0.2,0.0,0,-23.9,7.5,
18-Sep-2023,596.9,+47.9,+8.7%,,,15.7,,,-0.8,0.2,0.0,0,-24.1,7.6,
15-Sep-2023,549.0,-8.1,-1.5%,,,15.4,,,-0.8,0.2,0.0,0,-23.9,7.6,
14-Sep-2023,557.1,-55.7,-9.1%,,,14.7,,,-0.8,0.2,0.0,0,-24.4,7.8,
13-Sep-2023,612.8,+13.7,+2.3%,,,15.7,,,-0.8,0.2,0.0,0,-24.8,7.7,
12-Sep-2023,599.1,+11.1,+1.9%,,,15.9,,,-0.8,0.2,0.0,0,-24.6,7.6,
11-Sep-2023,588.0,-15.0,-2.5%,,,15.8,,,-0.8,0.2,0.0,0,-24.6,7.7,
08-Sep-2023,603.0,-20.4,-3.3%,,,15.9,,,-0.8,0.2,0.0,0,-25.0,7.7,
07-Sep-2023,623.4,+19.5,+3.2%,,,16.8,,,-0.8,0.2,0.0,0,-25.0,7.6,
06-Sep-2023,603.9,+28.3,+4.9%,,,16.2,,,-0.8,0.2,0.0,0,-25.1,7.7,
05-Sep-2023,575.6,+4.9,+0.9%,,,15.9,,,-0.8,0.1,0.0,0,-24.9,10.6,
04-Sep-2023,570.7,+7.8,+1.4%,,,16.3,,,-0.8,0.1,0.0,0,-24.7,10.5,
01-Sep-2023,562.9,+19.3,+3.6%,,,15.7,,,-0.8,0.1,0.0,0,-25.1,10.7,
31-Aug-2023,543.6,+11.7,+2.2%,,,15.1,,,-0.8,0.1,0.0,0,-25.3,10.9,
30-Aug-2023,531.9,+7.9,+1.5%,,,15.2,,,-0.8,0.1,0.0,0,-25.0,10.8,
29-Aug-2023,524.0,-28.3,-5.1%,,,15.3,,,-0.8,0.1,0.0,0,-24.9,10.8,
28-Aug-2023,552.3,-54.9,-9.0%,,,15.6,,,-0.8,0.1,0.0,0,-25.3,10.8,
25-Aug-2023,607.2,-2.2,-0.4%,,,16.6,,,-0.8,0.1,0.0,0,-26.0,10.8,
24-Aug-2023,609.4,+32.2,+5.6%,,,16.5,,,-0.8,0.1,0.0,0,-26.2,10.8,
23-Aug-2023,577.2,-5.0,-0.9%,,,16.0,,,-0.8,0.1,0.0,0,-26.0,10.9,
22-Aug-2023,582.2,-33.6,-5.5%,,,16.0,,,-0.8,0.1,0.0,0,-26.2,10.9,
21-Aug-2023,615.8,-9.0,-1.4%,,,16.6,,,-0.8,0.1,0.0,0,-26.5,10.9,
18-Aug-2023,624.8,+11.5,+1.9%,,,16.6,,,-0.8,0.1,0.0,0,-27.0,11.0,
17-Aug-2023,613.3,+51.0,+9.1%,,,16.6,,,-0.8,0.1,0.0,0,-26.8,10.9,
16-Aug-2023,562.3,-0.5,-0.1%,,,16.0,,,-0.8,0.1,0.0,0,-26.3,11.0,
15-Aug-2023,562.8,+37.9,+7.2%,,,16.3,,,-0.8,0.1,0.0,0,-26.2,10.9,
14-Aug-2023,524.9,-6.1,-1.1%,,,15.8,,,-0.8,0.1,0.0,0,-25.8,11.0,
11-Aug-2023,531.0,+51.8,+10.8%,,,15.6,,,-0.8,0.1,0.0,0,-26.3,11.1,
