Exchange Date,Close,Implied Volatility,Delta,Theta,Gamma,Open Interest,Rho,Vega,Strike Price,Days to Maturity,Close_Index,Log Forward Moneyness
2023-03-20,523.6,20.1,-0.6,-0.2,0.0,0.0,-31.8,17.1,4500,396,4119.42,0.0528877597498651
2023-03-20,804.8,19.5,-0.8,0.0,0.0,0.0,-41.6,12.8,4900,396,4119.42,0.1380455680901719
2023-03-20,586.2,19.8,-0.6,-0.1,0.0,0.0,-34.4,15.0,4600,396,4119.42,0.07486666646864039
2023-03-20,887.3,19.8,-0.8,0.0,0.0,0.0,-43.7,13.1,5000,396,4119.42,0.1582482754076914
2023-03-20,654.0,19.5,-0.7,-0.1,0.0,0.0,-36.9,15.5,4700,396,4119.42,0.09637287168960401
2023-03-20,726.8,19.6,-0.7,-0.1,0.0,0.0,-39.3,15.9,4800,396,4119.42,0.11742628088743638
2023-03-21,528.8,18.9,-0.6,-0.1,0.0,0.0,-33.3,15.0,4600,395,4181.6,0.05997468384559756
2023-03-21,740.5,18.5,-0.7,0.0,0.0,0.0,-40.9,13.0,4900,395,4181.6,0.12315358546712916
2023-03-21,469.3,19.1,-0.6,-0.2,0.0,0.0,-30.6,17.1,4500,395,4181.6,0.03799577712682232
2023-03-21,594.1,18.5,-0.7,-0.1,0.0,0.0,-35.9,15.6,4700,395,4181.6,0.08148088906656115
2023-03-21,664.8,18.5,-0.7,-0.1,0.0,0.0,-38.5,16.0,4800,395,4181.6,0.10253429826439349
2023-03-21,821.1,18.6,-0.8,0.0,0.0,0.0,-43.1,13.3,5000,395,4181.6,0.14335629278464862
2023-03-22,507.4,18.4,-0.6,-0.1,0.0,0.0,-32.9,15.1,4600,394,4195.7,0.05669802998871506
2023-03-22,448.9,18.6,-0.6,-0.1,0.0,0.0,-30.1,17.1,4500,394,4195.7,0.034719123269939846
2023-03-22,571.9,18.0,-0.7,-0.1,0.0,0.0,-35.6,15.7,4700,394,4195.7,0.07820423520967862
2023-03-22,797.8,18.1,-0.8,0.1,0.0,0.0,-42.9,13.5,5000,394,4195.7,0.140079638927766
2023-03-22,642.0,18.0,-0.7,-0.0,0.0,0.0,-38.2,16.2,4800,394,4195.7,0.09925764440751092
2023-03-22,717.4,18.0,-0.7,0.0,0.0,0.0,-40.6,13.1,4900,394,4195.7,0.11987693161024658
2023-03-23,794.7,18.7,-0.8,0.0,0.0,0.0,-42.2,13.3,5000,393,4207.14,0.1374463373585115
2023-03-23,569.6,18.5,-0.7,-0.1,0.0,0.0,-35.0,15.5,4700,393,4207.14,0.07557093364042398
2023-03-23,639.6,18.5,-0.7,-0.1,0.0,0.0,-37.6,16.0,4800,393,4207.14,0.09662434283825634
2023-03-23,446.9,19.0,-0.6,-0.2,0.0,0.0,-29.7,17.1,4500,393,4207.14,0.03208582170068512
2023-03-23,714.7,18.6,-0.7,0.0,0.0,0.0,-40.0,13.0,4900,393,4207.14,0.11724363004099204
2023-03-23,505.3,18.8,-0.6,-0.1,0.0,0.0,-32.4,17.6,4600,393,4207.14,0.05406472841946038
2023-03-24,507.5,19.9,-0.6,-0.2,0.0,0.0,-31.2,17.0,4500,392,4130.62,0.050530975895408045
2023-03-24,711.2,19.6,-0.7,-0.1,0.0,0.0,-38.6,15.9,4800,392,4130.62,0.11506949703297917
2023-03-24,873.1,19.9,-0.8,0.0,0.0,0.0,-42.8,13.1,5000,392,4130.62,0.1558914915532343
2023-03-24,637.8,19.4,-0.7,-0.1,0.0,0.0,-36.2,15.5,4700,392,4130.62,0.09401608783514691
2023-03-24,789.8,19.6,-0.7,0.0,0.0,0.0,-40.8,12.8,4900,392,4130.62,0.13568878423571495
2023-03-24,569.8,19.6,-0.6,-0.1,0.0,0.0,-33.7,15.0,4600,392,4130.62,0.0725098826141832
2023-03-27,472.2,19.0,-0.6,-0.2,0.0,0.0,-30.4,17.0,4500,389,4164.62,0.04260222482806668
2023-03-27,599.2,18.5,-0.7,-0.1,0.0,0.0,-35.6,15.5,4700,389,4164.62,0.08608733676780542
2023-03-27,748.5,18.6,-0.7,0.0,0.0,0.0,-40.4,12.9,4900,389,4164.62,0.12776003316837356
2023-03-27,830.6,18.8,-0.8,0.0,0.0,0.0,-42.6,13.3,5000,389,4164.62,0.14796274048589297
2023-03-27,532.8,18.8,-0.6,-0.1,0.0,0.0,-33.0,15.0,4600,389,4164.62,0.06458113154684188
2023-03-27,671.2,18.6,-0.7,-0.1,0.0,0.0,-38.1,16.0,4800,389,4164.62,0.10714074596563772
2023-03-28,824.7,18.7,-0.8,0.0,0.0,0.0,-42.4,13.3,5000,388,4168.21,0.14719067742989475
2023-03-28,527.5,18.7,-0.6,-0.1,0.0,0.0,-32.9,15.0,4600,388,4168.21,0.06380906849084365
2023-03-28,665.7,18.5,-0.7,-0.1,0.0,0.0,-38.0,16.0,4800,388,4168.21,0.10636868290963951
2023-03-28,467.1,18.9,-0.6,-0.2,0.0,0.0,-30.2,17.0,4500,388,4168.21,0.041830161772068344
2023-03-28,742.8,18.5,-0.7,0.0,0.0,0.0,-40.3,13.0,4900,388,4168.21,0.12698797011237525
2023-03-28,593.8,18.4,-0.7,-0.1,0.0,0.0,-35.5,15.5,4700,388,4168.21,0.0853152737118073
2023-03-29,621.2,18.4,-0.7,-0.1,0.0,0.0,-36.6,15.9,4800,387,4231.27,0.09144277460686029
2023-03-29,431.6,18.9,-0.6,-0.2,0.0,0.0,-28.8,16.9,4500,387,4231.27,0.026904253469289072
2023-03-29,695.4,18.6,-0.7,0.0,0.0,0.0,-39.1,12.8,4900,387,4231.27,0.11206206180959605
2023-03-29,774.6,18.6,-0.8,0.0,0.0,0.0,-41.3,13.2,5000,387,4231.27,0.13226476912711538
2023-03-29,488.9,18.7,-0.6,-0.1,0.0,0.0,-31.4,17.5,4600,387,4231.27,0.0488831601880644
2023-03-29,552.2,18.5,-0.6,-0.1,0.0,0.0,-34.1,15.4,4700,387,4231.27,0.07038936540902807
2023-03-30,447.0,18.2,-0.6,-0.1,0.0,0.0,-30.2,17.4,4600,386,4285.42,0.03625637004952373
2023-03-30,643.3,17.8,-0.7,-0.0,0.0,0.0,-38.2,16.5,4900,386,4285.42,0.09943527167105523
2023-03-30,719.4,17.7,-0.7,0.1,0.0,0.0,-40.6,13.4,5000,386,4285.42,0.11963797898857478
2023-03-30,506.5,18.0,-0.6,-0.1,0.0,0.0,-33.0,15.4,4700,386,4285.42,0.05776257527048721
2023-03-30,393.8,18.6,-0.5,-0.2,0.0,0.0,-27.5,16.8,4500,386,4285.42,0.014277463330748376
2023-03-30,572.1,17.7,-0.7,-0.0,0.0,0.0,-35.6,16.0,4800,386,4285.42,0.07881598446831965
2023-03-31,488.3,18.0,-0.6,-0.1,0.0,0.0,-32.2,18.0,4700,385,4315.05,0.0509618159403226
2023-03-31,430.6,18.2,-0.6,-0.1,0.0,0.0,-29.5,17.4,4600,385,4315.05,0.02945561071935901
2023-03-31,621.6,17.7,-0.7,-0.0,0.0,0.0,-37.6,16.4,4900,385,4315.05,0.09263451234089062
2023-03-31,696.3,17.7,-0.7,0.1,0.0,0.0,-40.0,13.3,5000,385,4315.05,0.11283721965841007
2023-03-31,379.0,18.7,-0.5,-0.2,0.0,0.0,-26.8,16.7,4500,385,4315.05,0.007476704000583767
2023-03-31,552.1,17.7,-0.7,-0.1,0.0,0.0,-34.9,15.9,4800,385,4315.05,0.07201522513815493
2023-04-03,433.1,18.1,-0.6,-0.1,0.0,0.0,-29.5,17.3,4600,382,4311.05,0.03065179586161266
2023-04-03,381.1,18.6,-0.5,-0.2,0.0,0.0,-26.7,16.7,4500,382,4311.05,0.008672889142837287
2023-04-03,555.9,17.7,-0.7,-0.0,0.0,0.0,-34.9,15.8,4800,382,4311.05,0.07321141028040862
2023-04-03,626.2,17.7,-0.7,-0.0,0.0,0.0,-37.5,16.4,4900,382,4311.05,0.09383069748314422
2023-04-03,701.8,17.7,-0.7,0.1,0.0,0.0,-39.9,13.3,5000,382,4311.05,0.11403340480066379
2023-04-03,491.4,18.0,-0.6,-0.1,0.0,0.0,-32.2,17.9,4700,382,4311.05,0.05215800108257616
2023-04-04,695.6,17.6,-0.7,0.1,0.0,0.0,-39.8,13.3,5000,381,4315.32,0.11313300608358479
2023-04-04,486.7,17.9,-0.6,-0.1,0.0,0.0,-32.0,17.9,4700,381,4315.32,0.05125760236549716
2023-04-04,550.7,17.6,-0.7,-0.1,0.0,0.0,-34.7,15.8,4800,381,4315.32,0.07231101156332949
2023-04-04,428.9,18.1,-0.6,-0.1,0.0,0.0,-29.3,17.3,4600,381,4315.32,0.029751397144533585
2023-04-04,377.5,18.6,-0.5,-0.2,0.0,0.0,-26.6,16.7,4500,381,4315.32,0.007772490425758357
2023-04-04,620.5,17.6,-0.7,-0.0,0.0,0.0,-37.3,16.3,4900,381,4315.32,0.09293029876606536
2023-04-05,508.2,18.5,-0.6,-0.1,0.0,0.0,-32.2,17.8,4700,380,4298.36,0.05528511849859951
2023-04-05,645.3,18.3,-0.7,-0.1,0.0,0.0,-37.3,16.2,4900,380,4298.36,0.09695781489916751
2023-04-05,395.2,19.1,-0.5,-0.2,0.0,0.0,-26.9,16.6,4500,380,4298.36,0.01180000655886071
2023-04-05,573.9,18.2,-0.7,-0.1,0.0,0.0,-34.8,15.7,4800,380,4298.36,0.07633852769643185
2023-04-05,721.8,18.4,-0.7,0.0,0.0,0.0,-39.6,13.1,5000,380,4298.36,0.11716052221668695
2023-04-05,448.6,18.6,-0.6,-0.2,0.0,0.0,-29.6,17.2,4600,380,4298.36,0.033778913277635936
2023-04-06,557.1,17.6,-0.7,-0.1,0.0,0.0,-34.8,15.8,4800,379,4309.45,0.07385138557453846
2023-04-06,627.3,17.6,-0.7,-0.0,0.0,0.0,-37.4,16.3,4900,379,4309.45,0.09447067277727417
2023-04-06,492.6,18.0,-0.6,-0.1,0.0,0.0,-32.1,15.2,4700,379,4309.45,0.052797976376706086
2023-04-06,702.8,17.6,-0.7,0.1,0.0,0.0,-39.8,13.2,5000,379,4309.45,0.11467338009479365
2023-04-06,382.2,18.6,-0.5,-0.2,0.0,0.0,-26.6,16.6,4500,379,4309.45,0.009312864436967194
2023-04-06,434.2,18.1,-0.6,-0.1,0.0,0.0,-29.4,17.2,4600,379,4309.45,0.03129177115574247
2023-04-11,412.0,17.8,-0.6,-0.1,0.0,0.0,-28.5,17.1,4600,374,4333.29,0.02622293338175963
2023-04-11,600.4,17.1,-0.7,-0.0,0.0,0.0,-36.6,16.3,4900,374,4333.29,0.08940183500329123
2023-04-11,361.9,18.4,-0.5,-0.2,0.0,0.0,-25.7,16.5,4500,374,4333.29,0.004244026662984466
2023-04-11,674.8,17.1,-0.7,0.1,0.0,0.0,-39.1,13.3,5000,374,4333.29,0.10960454232081061
2023-04-11,468.6,17.6,-0.6,-0.1,0.0,0.0,-31.2,17.8,4700,374,4333.29,0.047729138602723147
2023-04-11,531.5,17.2,-0.7,-0.0,0.0,0.0,-33.9,15.7,4800,374,4333.29,0.06878254780055562
2023-04-12,410.0,17.8,-0.6,-0.1,0.0,0.0,-28.3,17.1,4600,373,4334.03,0.02614176606407392
2023-04-12,466.4,17.6,-0.6,-0.1,0.0,0.0,-31.0,17.8,4700,373,4334.03,0.047647971285037484
2023-04-12,673.1,17.2,-0.7,0.1,0.0,0.0,-38.8,13.3,5000,373,4334.03,0.1095233750031249
2023-04-12,529.3,17.2,-0.7,-0.0,0.0,0.0,-33.8,15.8,4800,373,4334.03,0.0687013804828698
2023-04-12,598.4,17.2,-0.7,-0.0,0.0,0.0,-36.4,16.3,4900,373,4334.03,0.08932066768560547
2023-04-12,360.0,18.4,-0.5,-0.2,0.0,0.0,-25.6,16.5,4500,373,4334.03,0.0041628593452987025
2023-04-13,648.4,17.0,-0.7,0.1,0.0,0.0,-38.3,13.2,5000,372,4363.24,0.10289588849583939
2023-04-13,343.7,18.3,-0.5,-0.2,0.0,0.0,-24.9,17.8,4500,372,4363.24,-0.002464627161987002
2023-04-13,392.1,17.7,-0.5,-0.1,0.0,0.0,-27.6,17.0,4600,372,4363.24,0.019514279556788347
2023-04-13,541.0,17.0,-0.7,-0.0,0.0,0.0,-34.4,16.0,4850,372,4363.24,0.07243668101113085
2023-04-13,593.1,17.0,-0.7,-0.0,0.0,0.0,-36.4,16.4,4925,372,4363.24,0.08778225068579122
2023-04-13,367.2,18.0,-0.5,-0.2,0.0,0.0,-26.2,16.7,4550,372,4363.24,0.00858520902459808
2023-04-13,446.9,17.4,-0.6,-0.1,0.0,0.0,-30.3,17.7,4700,372,4363.24,0.04102048477775193
2023-04-13,508.1,17.1,-0.6,-0.0,0.0,0.0,-33.1,15.7,4800,372,4363.24,0.062073893975584264
2023-04-13,575.3,17.0,-0.7,-0.0,0.0,0.0,-35.8,16.3,4900,372,4363.24,0.08269318117831995
2023-04-13,476.7,17.3,-0.6,-0.1,0.0,0.0,-31.7,15.4,4750,372,4363.24,0.051602594108288866
2023-04-13,418.7,17.5,-0.6,-0.1,0.0,0.0,-29.0,17.4,4650,372,4363.24,0.030325195661003973
2023-04-14,460.0,17.4,-0.6,-0.1,0.0,0.0,-31.0,17.9,4750,371,4390.75,0.045407028480266474
2023-04-14,377.9,17.8,-0.5,-0.1,0.0,0.0,-26.8,16.9,4600,371,4390.75,0.013318713928765949
2023-04-14,522.7,17.1,-0.6,-0.0,0.0,0.0,-33.7,15.9,4850,371,4390.75,0.0662411153831086
2023-04-14,353.8,18.2,-0.5,-0.2,0.0,0.0,-25.5,16.6,4550,371,4390.75,0.002389643396575828
2023-04-14,556.4,17.0,-0.7,-0.0,0.0,0.0,-35.0,16.2,4900,371,4390.75,0.07649761555029756
2023-04-14,573.8,17.0,-0.7,-0.0,0.0,0.0,-35.7,16.3,4925,371,4390.75,0.08158668505776877
2023-04-14,628.0,17.1,-0.7,0.1,0.0,0.0,-37.6,13.2,5000,371,4390.75,0.09670032286781695
2023-04-14,331.1,18.3,-0.5,-0.2,0.0,0.0,-24.2,17.7,4500,371,4390.75,-0.00866019279000922
2023-04-14,431.0,17.5,-0.6,-0.1,0.0,0.0,-29.6,17.6,4700,371,4390.75,0.03482491914972968
2023-04-14,403.7,17.6,-0.6,-0.1,0.0,0.0,-28.2,17.3,4650,371,4390.75,0.02412963003298165
2023-04-14,490.6,17.2,-0.6,-0.0,0.0,0.0,-32.3,15.6,4800,371,4390.75,0.05587832834756195
2023-04-17,361.2,17.9,-0.5,-0.1,0.0,0.0,-25.8,16.6,4550,368,4367.61,0.00794251709745997
2023-04-17,412.1,17.4,-0.6,-0.1,0.0,0.0,-28.6,17.3,4650,368,4367.61,0.02968250373386598
2023-04-17,440.0,17.3,-0.6,-0.1,0.0,0.0,-30.0,17.7,4700,368,4367.61,0.04037779285061399
2023-04-17,338.1,18.2,-0.5,-0.2,0.0,0.0,-24.5,17.7,4500,368,4367.61,-0.003107319089124952
2023-04-17,469.6,17.2,-0.6,-0.0,0.0,0.0,-31.3,15.3,4750,368,4367.61,0.050959902181150776
2023-04-17,640.0,16.7,-0.7,0.1,0.0,0.0,-37.9,13.3,5000,368,4367.61,0.10225319656870137
2023-04-17,567.5,16.8,-0.7,-0.0,0.0,0.0,-35.4,16.3,4900,368,4367.61,0.08205048925118202
2023-04-17,585.1,16.8,-0.7,-0.0,0.0,0.0,-36.1,16.4,4925,368,4367.61,0.08713955875865312
2023-04-17,385.8,17.6,-0.5,-0.1,0.0,0.0,-27.2,17.0,4600,368,4367.61,0.018871587629650296
2023-04-17,500.7,16.9,-0.6,-0.0,0.0,0.0,-32.7,15.7,4800,368,4367.61,0.06143120204844623
2023-04-17,533.3,16.8,-0.7,-0.0,0.0,0.0,-34.1,16.0,4850,368,4367.61,0.07179398908399287
2023-04-18,482.0,16.8,-0.6,-0.0,0.0,0.0,-32.1,15.6,4800,367,4393.95,0.05550814508736901
2023-04-18,422.4,17.1,-0.6,-0.1,0.0,0.0,-29.3,17.6,4700,367,4393.95,0.0344547358895367
2023-04-18,547.9,16.6,-0.7,-0.0,0.0,0.0,-34.8,16.2,4900,367,4393.95,0.07612743229010466
2023-04-18,395.2,17.3,-0.6,-0.1,0.0,0.0,-27.9,17.3,4650,367,4393.95,0.02375944677278876
2023-04-18,565.3,16.7,-0.7,-0.0,0.0,0.0,-35.5,16.4,4925,367,4393.95,0.08121650179757592
2023-04-18,451.4,17.1,-0.6,-0.1,0.0,0.0,-30.7,17.9,4750,367,4393.95,0.045036845220073625
2023-04-18,619.6,16.7,-0.7,0.1,0.0,0.0,-37.4,13.2,5000,367,4393.95,0.09633013960762407
2023-04-18,369.6,17.5,-0.5,-0.1,0.0,0.0,-26.5,16.9,4600,367,4393.95,0.012948530668573153
2023-04-18,514.1,16.7,-0.7,-0.0,0.0,0.0,-33.5,15.9,4850,367,4393.95,0.06587093212291557
2023-04-18,345.7,17.9,-0.5,-0.1,0.0,0.0,-25.2,16.6,4550,367,4393.95,0.002019460136382682
2023-04-18,323.2,18.0,-0.5,-0.2,0.0,0.0,-23.9,17.6,4500,367,4393.95,-0.009030376050202163
2023-04-19,344.2,17.8,-0.5,-0.1,0.0,0.0,-25.1,16.6,4550,366,4393.57,0.002195535467179835
2023-04-19,562.1,16.5,-0.7,-0.0,0.0,0.0,-35.5,16.4,4925,366,4393.57,0.08139257712837315
2023-04-19,367.9,17.4,-0.5,-0.1,0.0,0.0,-26.5,16.9,4600,366,4393.57,0.013124605999370157
2023-04-19,420.1,17.0,-0.6,-0.1,0.0,0.0,-29.3,17.6,4700,366,4393.57,0.034630811220333846
2023-04-19,616.3,16.4,-0.7,0.1,0.0,0.0,-37.4,13.3,5000,366,4393.57,0.0965062149384212
2023-04-19,544.7,16.5,-0.7,-0.0,0.0,0.0,-34.8,16.3,4900,366,4393.57,0.07630350762090185
2023-04-19,322.0,18.0,-0.5,-0.2,0.0,0.0,-23.8,17.6,4500,366,4393.57,-0.008854300719405081
2023-04-19,393.2,17.2,-0.6,-0.1,0.0,0.0,-27.9,17.3,4650,366,4393.57,0.023935522103585835
2023-04-19,511.1,16.5,-0.7,-0.0,0.0,0.0,-33.5,16.0,4850,366,4393.57,0.06604700745371271
2023-04-19,448.8,16.9,-0.6,-0.0,0.0,0.0,-30.7,15.3,4750,366,4393.57,0.045212920550870624
