Exchange Date,Days to Maturity,Close_Index,IV_4500,IV_4550,IV_4600,IV_4650,IV_4700,IV_4750,IV_4800,IV_4850,IV_4900,IV_4925,IV_5000
2023-04-13,372,4363.24,18.3,18.0,17.7,17.5,17.4,17.3,17.1,17.0,17.0,17.0,17.0
2023-04-14,371,4390.75,18.3,18.2,17.8,17.6,17.5,17.4,17.2,17.1,17.0,17.0,17.1
2023-04-17,368,4367.61,18.2,17.9,17.6,17.4,17.3,17.2,16.9,16.8,16.8,16.8,16.7
2023-04-18,367,4393.95,18.0,17.9,17.5,17.3,17.1,17.1,16.8,16.7,16.6,16.7,16.7
2023-04-19,366,4393.57,18.0,17.8,17.4,17.2,17.0,16.9,16.7,16.5,16.5,16.5,16.4
2023-04-20,365,4384.86,18.2,17.9,17.6,17.3,17.2,17.1,16.9,16.7,16.7,16.7,16.7
2023-04-21,364,4408.59,18.3,18.1,17.7,17.5,17.3,17.2,17.0,16.8,16.7,16.7,16.8
2023-04-24,361,4401.8,18.3,18.1,17.7,17.5,17.3,17.2,17.0,16.8,16.7,16.7,16.8
2023-04-25,360,4377.85,18.1,17.8,17.4,17.2,17.0,16.8,16.6,16.4,16.3,16.3,16.1
2023-04-26,359,4347.71,18.5,18.1,17.8,17.6,17.5,17.3,17.0,16.9,16.9,16.9,16.7
2023-04-27,358,4358.05,18.3,17.9,17.6,17.3,17.2,16.9,16.7,16.5,16.5,16.5,16.2
2023-04-28,357,4359.31,18.3,17.9,17.6,17.3,17.2,16.9,16.7,16.5,16.5,16.5,16.2
2023-05-02,353,4294.85,18.3,17.9,17.6,17.3,17.2,16.9,16.7,16.5,16.5,16.5,16.2
2023-05-03,352,4310.18,17.9,17.6,17.3,17.2,16.9,16.6,16.5,16.4,16.2,16.1,16.0
2023-05-04,351,4287.03,18.4,18.1,17.9,17.8,17.5,17.3,17.1,17.1,17.0,16.9,16.9
2023-05-05,350,4340.43,18.5,18.1,17.8,17.6,17.5,17.2,16.9,16.8,16.8,16.7,16.5
2023-05-08,347,4348.65,18.4,18.0,17.7,17.5,17.4,17.2,16.9,16.8,16.8,16.8,16.7
