Exchange Date,Days to Maturity,Close_Index,IV_4500,IV_4550,IV_4600,IV_4650,IV_4700,IV_4750,IV_4800,IV_4850,IV_4900,IV_4925,IV_5000,Close,Delta,Theta,Gamma,Open Interest,Rho,Vega,Strike Price,Log Forward Moneyness
2023-04-13,372,4363.24,18.3,18.0,17.7,17.5,17.4,17.3,17.1,17.0,17.0,17.0,17.0,367.2,-0.5,-0.2,0.0,0.0,-26.2,16.7,4550,0.008585209024598
2023-04-14,371,4390.75,18.3,18.2,17.8,17.6,17.5,17.4,17.2,17.1,17.0,17.0,17.1,353.8,-0.5,-0.2,0.0,0.0,-25.5,16.6,4550,0.0023896433965758
2023-04-17,368,4367.61,18.2,17.9,17.6,17.4,17.3,17.2,16.9,16.8,16.8,16.8,16.7,361.2,-0.5,-0.1,0.0,0.0,-25.8,16.6,4550,0.0079425170974599
2023-04-18,367,4393.95,18.0,17.9,17.5,17.3,17.1,17.1,16.8,16.7,16.6,16.7,16.7,345.7,-0.5,-0.1,0.0,0.0,-25.2,16.6,4550,0.0020194601363826
2023-04-19,366,4393.57,18.0,17.8,17.4,17.2,17.0,16.9,16.7,16.5,16.5,16.5,16.4,344.2,-0.5,-0.1,0.0,0.0,-25.1,16.6,4550,0.0021955354671798
2023-04-20,365,4384.86,18.2,17.9,17.6,17.3,17.2,17.1,16.9,16.7,16.7,16.7,16.7,352.5,-0.5,-0.3,0.0,0.0,-25.3,16.5,4550,0.0042695346723363
2023-04-21,364,4408.59,18.3,18.1,17.7,17.5,17.3,17.2,17.0,16.8,16.7,16.7,16.8,343.2,-0.5,-0.2,0.0,0.0,-24.7,17.8,4550,-0.0010380884397835
2023-04-24,361,4401.8,18.3,18.1,17.7,17.5,17.3,17.2,17.0,16.8,16.7,16.7,16.8,341.0,-0.5,-0.1,0.0,0.0,-24.7,16.4,4550,0.000772040948808
2023-04-25,360,4377.85,18.1,17.8,17.4,17.2,17.0,16.8,16.6,16.4,16.3,16.3,16.1,353.2,-0.5,-0.1,0.0,0.0,-25.2,16.5,4550,0.0063174418748223
2023-04-26,359,4347.71,18.5,18.1,17.8,17.6,17.5,17.3,17.0,16.9,16.9,16.9,16.7,371.9,-0.5,-0.1,0.0,0.0,-25.6,16.5,4550,0.0133154975069442
